Release date,Product Family,Product,Platform,Impact,Max Severity,Article,Article (Link),Supercedence,Download,Download (Link),Build Number,Details,Details (Link),Base Score,Temporal Score,Customer Action Required
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54915,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54915,6.7,5.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54912,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54912,7.8,6.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54912,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54912,7.8,6.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54911,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54911,7.3,6.4,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54911,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54911,7.3,6.4,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54116,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54116,7.3,6.4,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54116,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54116,7.3,6.4,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54115,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54115,7.0,6.1,true
9 set 2025,Windows,Windows Server 2016,,Denial of Service,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54114,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54114,7.0,6.1,true
9 set 2025,Windows,Windows Server 2016,,Remote Code Execution,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54113,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54113,8.8,7.7,true
9 set 2025,Windows,Windows Server 2019,,Remote Code Execution,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54113,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54113,8.8,7.7,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54112,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54112,7.0,6.1,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54112,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54112,7.0,6.1,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54109,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54109,6.7,5.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54109,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54109,6.7,5.8,true
9 set 2025,Windows,Windows Server 2016,,Security Feature Bypass,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54107,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54107,4.3,3.8,true
9 set 2025,Windows,Windows Server 2019,,Security Feature Bypass,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54107,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54107,4.3,3.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54104,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54104,6.7,5.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54104,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54104,6.7,5.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54098,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54098,7.8,6.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54094,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54094,6.7,5.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54094,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54094,6.7,5.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54093,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54093,7.0,6.1,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54093,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54093,7.0,6.1,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54092,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54092,7.8,6.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54091,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54091,7.8,6.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54091,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54091,7.8,6.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-53810,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53810,6.7,5.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-53810,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53810,6.7,5.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-53808,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53808,6.7,5.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-53808,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53808,6.7,5.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-53807,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53807,7.0,6.1,true
9 set 2025,Windows,Windows Server 2016,,Information Disclosure,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-53806,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53806,6.5,5.7,true
9 set 2025,Windows,Windows Server 2019,,Information Disclosure,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-53806,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53806,6.5,5.7,true
9 set 2025,Windows,Windows Server 2016,,Information Disclosure,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-53804,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53804,5.5,4.8,true
9 set 2025,Windows,Windows Server 2016,,Information Disclosure,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-53803,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53803,5.5,4.8,true
9 set 2025,Windows,Windows Server 2019,,Information Disclosure,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-53803,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53803,5.5,4.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-53801,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53801,7.8,6.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-53801,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53801,7.8,6.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Critical,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-53800,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53800,7.8,6.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Critical,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-53800,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53800,7.8,6.8,true
9 set 2025,Windows,Windows Server 2016,,Information Disclosure,Critical,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-53799,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53799,5.5,4.8,true
9 set 2025,Windows,Windows Server 2019,,Information Disclosure,Critical,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-53799,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53799,5.5,4.8,true
9 set 2025,Windows,Windows Server 2016,,Information Disclosure,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-53796,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53796,6.5,5.7,true
9 set 2025,Windows,Windows Server 2019,,Information Disclosure,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-53796,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53796,6.5,5.7,true
9 set 2025,Windows,Windows Server 2016,,Remote Code Execution,Critical,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-55226,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55226,6.7,5.8,true
9 set 2025,Windows,Windows Server 2019,,Remote Code Execution,Critical,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-55226,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55226,6.7,5.8,true
9 set 2025,Windows,Windows Server 2016,,Information Disclosure,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-55225,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55225,6.5,5.7,true
9 set 2025,Windows,Windows Server 2019,,Information Disclosure,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-55225,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55225,6.5,5.7,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-55223,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55223,7.0,6.1,true
9 set 2025,Windows,Windows Server 2019,,Remote Code Execution,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54919,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54919,7.5,6.5,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Critical,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54918,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54918,8.8,7.7,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Critical,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54918,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54918,8.8,7.7,true
9 set 2025,Windows,Windows Server 2016,,Remote Code Execution,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54916,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54916,7.8,6.8,true
9 set 2025,Windows,Windows Server 2019,,Remote Code Execution,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54916,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54916,7.8,6.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54913,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54913,7.8,6.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54913,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54913,7.8,6.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54895,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54895,7.8,6.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54895,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54895,7.8,6.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54894,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54894,7.8,6.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54894,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54894,7.8,6.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54111,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54111,7.8,6.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54111,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54111,7.8,6.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54110,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54110,8.8,7.7,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54110,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54110,8.8,7.7,true
9 set 2025,Windows,Windows Server 2016,,Remote Code Execution,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54106,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54106,8.8,7.7,true
9 set 2025,Windows,Windows Server 2019,,Remote Code Execution,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54106,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54106,8.8,7.7,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54102,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54102,7.8,6.8,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54102,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54102,7.8,6.8,true
9 set 2025,Windows,Windows Server 2016,,Remote Code Execution,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54101,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54101,4.8,4.2,true
9 set 2025,Windows,Windows Server 2019,,Remote Code Execution,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54101,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54101,4.8,4.2,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54099,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54099,7.0,6.1,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54099,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54099,7.0,6.1,true
9 set 2025,Windows,Windows Server 2016,,Information Disclosure,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54097,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54097,6.5,5.7,true
9 set 2025,Windows,Windows Server 2019,,Information Disclosure,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54097,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54097,6.5,5.7,true
